comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             10000       0           1           2             .000343      NA          .000339           .002606             .005123            .005416              7             187
0.01          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             100000      0           1           2             .000555      NA          .002731           .019869             .030705            .031250              49            226
0.03          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             1000000     0           1           2             .001812      NA          .022428           .220905             .264975            .266250              476           212
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             10          0           1           2             .000709      NA          .000025           .000193             .000267            .001250              3             213
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             100         0           1           2             .000323      NA          .000028           .000188             .000397            .000416              6             321
0.01          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             1000        0           1           2             .000703      NA          .000043           .000295             .000456            .001250              4             217
0.01          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             10000       0           1           2             .000404      NA          .000158           .001218             .002780            .003333              5             175
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             100000      0           1           2             .000770      NA          .001565           .009307             .013161            .014166              22            291
0.01          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             1000000     0           1           2             .000935      NA          .011589           .086647             .113108            .114166              225           256
0.03          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             10          0           1           2             .000402      NA          .000026           .000196             .000273            .000833              3             273
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             100         0           1           2             .000707      NA          .000031           .000199             .000268            .001250              4             229
0.01          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             1000        0           1           2             .000718      NA          .000045           .000317             .000461            .001250              4             264
0.01          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             10000       0           1           2             .000586      NA          .000228           .001263             .002644            .003333              5             219
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             100000      0           1           2             .000646      NA          .001574           .008976             .012469            .013333              25            308
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             1000000     0           1           2             .001046      NA          .011569           .089570             .125489            .126250              226           231
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             10          0           1           2             .000408      NA          .000030           .000161             .000278            .000833              3             328
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             100         0           1           2             .000705      NA          .000026           .000213             .000325            .001250              3             213
0.01          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             1000        0           1           2             .000708      NA          .000042           .000314             .000475            .001250              4             208
0.03          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             10000       0           1           2             .000430      NA          .000173           .001206             .001923            .002500              5             250
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             100000      0           1           2             .000765      NA          .001395           .008564             .014135            .015000              25            245
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             1000000     0           1           2             .000986      NA          .011402           .096976             .128919            .130000              223           220
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             10          0           1           2             .000227      NA          .000026           .000203             .000292            .000416              3             357
0.03          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             100         0           1           2             .000411      NA          .000029           .000193             .000268            .000833              3             300
0.03          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             1000        0           1           2             .000351      NA          .000048           .000291             .000461            .000833              4             315
0.02          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             10000       0           1           2             .000724      NA          .000185           .001264             .002665            .003333              5             175
0.01          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             100000      0           1           2             .000718      NA          .001536           .009123             .012854            .013750              23            291
0.03          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             1000000     0           1           2             .001040      NA          .011430           .092875             .110290            .111250              223           259
0.03          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             10          0           1           2             .000347      NA          .000030           .000156             .000231            .000833              3             350
0.03          3                  1                  0    4        256       406       1         1         5         10000     10000     1              2500             100         0           1           2             .000418      NA          .000032           .000205             .000297            .000833              3             309
